"Alder, vurdert",Dødsdato,Observasjons/Jaktdato,Tid_Mellom_Observasjon_Død,Funnsted_kort,RovbaseID,DNAID,Art,Bakgrunn/årsak,Kjønn,Helvekt,Funnsted,Fylke,Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Alder på dødt individ,Slaktevekt,Kommune,"Alder, vurdert",Dødsdato,Observasjons/Jaktdato
1.0,2000-09-01,2000-09-01,0,Norr om Snesudden,M000261,D436753,Björn,Skyddsjakt,Hona,"53,00",Norr om Snesudden,Norrbottens län (S),7351634,746879,Osäker,,Jokkmokk (S),1,2000-09-01,2000-09-01
,2000-09-01,2000-09-01,0,Hosiovaara,M000262,D044818,Björn,Skyddsjakt,Hane,,Hosiovaara,Norrbottens län (S),7496077,845199,Osäker,,Pajala (S),,2000-09-01,2000-09-01
,2000-09-02,2000-09-02,0,Tyskberget,M000265,D044830,Björn,Skyddsjakt,Hane,,"Tyskberget, Gärdsjöbygdens jvo",Dalarnas län (S),6755991,527136,Osäker,,Rättvik (S),,2000-09-02,2000-09-02
3.0,2000-09-03,2000-09-03,0,Prästbordet,M000267,D436755,Björn,Skyddsjakt,Hona,"140,00",Prästbordet,Jämtlands län (S),7052381,478359,Vuxen,,Krokom (S),3,2000-09-03,2000-09-03
1.0,2000-09-03,2000-09-03,0,Granberget 1:41,M000268,D436756,Björn,Skyddsjakt,Hona,"55,00",Granberget 1:41,Jämtlands län (S),7078912,529107,Vuxen,43,Strömsund (S),1,2000-09-03,2000-09-03
1.0,2000-09-03,2000-09-03,0,Svaningsedet,M000269,D436757,Björn,Skyddsjakt,Hona,"49,00",Svaningsedet,Jämtlands län (S),7131260,502653,Osäker,,Strömsund (S),1,2000-09-03,2000-09-03
1.0,2000-09-04,2000-09-04,0,Krp Storhöjden,M000270,D436758,Björn,Skyddsjakt,Hane,"70,00",Krp Storhöjden,Västerbottens län (S),7212738,714665,Osäker,,Norsjö (S),1,2000-09-04,2000-09-04
,2000-09-04,2000-09-04,0,4 km efter Årrhedsv,M000272,D044819,Björn,Skyddsjakt,Hane,,4 km efter Årrhedsv,Norrbottens län (S),7254272,756829,Osäker,,Piteå (S),,2000-09-04,2000-09-04
2.0,2000-09-04,2000-09-04,0,Kvällshögen,M000274,D436761,Björn,Skyddsjakt,Hane,"90,00","Kvällshögen, Lännässjön",Jämtlands län (S),6939502,452687,Vuxen,,Berg (S),2,2000-09-04,2000-09-04
1.0,2000-09-04,2000-09-04,0,Näset 2:5,M000275,D436762,Björn,Skyddsjakt,Hane,"50,00",Näset 2:5,Jämtlands län (S),7087285,558792,Osäker,,Strömsund (S),1,2000-09-04,2000-09-04
2.0,2000-09-04,2000-09-04,0,Fågelberget 1:4,M000276,D436763,Björn,Skyddsjakt,Hona,"51,00",Fågelberget 1:4,Jämtlands län (S),7145145,478186,Vuxen,,Strömsund (S),2,2000-09-04,2000-09-04
2.0,2000-09-05,2000-09-05,0,Norrby,M000277,D436764,Björn,Skyddsjakt,Hane,,"Norrby, 800 m E",Västerbottens län (S),7209637,714505,Osäker,,Norsjö (S),2,2000-09-05,2000-09-05
1.0,2000-09-05,2000-09-05,0,Gitsfjället,M000278,D436765,Björn,Skyddsjakt,Hane,"80,00",Gitsfjället,Västerbottens län (S),7191172,534638,Osäker,,Vilhelmina (S),1,2000-09-05,2000-09-05
2.0,2000-09-05,2000-09-05,0,Berg,M000279,D436766,Björn,Skyddsjakt,Hane,"94,00","Berg, Oviken",Jämtlands län (S),6973535,432469,Vuxen,,Berg (S),2,2000-09-05,2000-09-05
,2000-09-09,2000-09-09,0,Buldanberget,M000284,D045012,Björn,Skyddsjakt,Hona,,Buldanberget,Norrbottens län (S),7342511,714001,Osäker,,Jokkmokk (S),,2000-09-09,2000-09-09
,2000-09-11,2000-09-11,0,Kompelusvaara,M000288,D044820,Björn,Skyddsjakt,Hona,,Kompelusvaara,Norrbottens län (S),7463084,805189,Osäker,,Pajala (S),,2000-09-11,2000-09-11
,2000-09-12,2000-09-12,0,Jutis,M000290,D044822,Björn,Skyddsjakt,Hane,,Jutis,Norrbottens län (S),7351929,595588,Osäker,,Arjeplog (S),,2000-09-12,2000-09-12
,2000-09-12,2000-09-12,0,Sudok-Kopponis,M000291,D044821,Björn,Skyddsjakt,Hona,,Sudok-Kopponis,Norrbottens län (S),7362156,733945,Osäker,,Jokkmokk (S),,2000-09-12,2000-09-12
,2001-08-22,2001-08-22,0,Bonäset 1:2,M000314,D044859,Björn,Skyddsjakt,Hona,,Bonäset 1:2,Jämtlands län (S),7095353,516903,Osäker,,Strömsund (S),,2001-08-22,2001-08-22
,2001-08-23,2001-08-23,0,Storlidbeget,M000316,D044860,Björn,Skyddsjakt,Hona,,Storlidbeget,Jämtlands län (S),7165018,500225,Osäker,,Strömsund (S),,2001-08-23,2001-08-23
